source,population,downstream_accuracy,logloss
baseline_dro_lasso,Female,0.8846153846153846,0.4649551687567546
baseline_dro_lasso,Male,0.751434034416826,0.5288669233160594
baseline_dro_xgb,Female,0.8846153846153846,0.4933577885695241
baseline_dro_xgb,Male,0.751434034416826,0.5451686548838787
baseline_lasso,Female,0.8846153846153846,0.6097162537099846
baseline_lasso,Male,0.7418738049713193,0.4930367698480451
baseline_xgb,Female,0.8846153846153846,0.352042992687553
baseline_xgb,Male,0.734225621414914,0.5782558274332729
our_method,Female,0.9192307692307692,0.3184204530057585
our_method,Male,0.7667304015296367,0.5220399523162179
