source,population,mse,r2,mse_std,r2_std
baseline_dro_lasso,CA,0.2604907313312457,0.757609348841543,0.07587885924545648,0.06700067314688408
baseline_dro_lasso,FL,0.31804543669962176,0.688452436657901,0.05414046375713815,0.056340420475150456
baseline_dro_lasso,NY,0.2260876972709923,0.7656371523928697,0.13237087231932543,0.06351441261218362
baseline_dro_xgb,CA,1.0627945393629679,0.01990053102710374,0.17406906072396947,0.07891489222803014
baseline_dro_xgb,FL,1.0918684897158077,-0.04901282364394854,0.2618237347927935,0.07800048759114196
baseline_dro_xgb,NY,1.0580959910148162,-0.09898735244811631,0.47936604685634343,0.060053433182346745
baseline_lasso,CA,0.6035096601619663,0.43317113596777146,0.409971056205997,0.38086122755259755
baseline_lasso,FL,0.6283776791385872,0.3585490571653287,0.30874800903734356,0.3731663223352247
baseline_lasso,NY,0.6676974222931409,0.3726093646755273,0.653686379591131,0.4450302120074397
baseline_xgb,CA,1.0218051384488032,0.05029958314674118,0.10974298850040508,0.1042690110446847
baseline_xgb,FL,1.0982355015780947,-0.05230926375381371,0.28648087576187736,0.09974490455558753
baseline_xgb,NY,1.0219220438645558,-0.06949479674981122,0.42602642424681003,0.05749170266807916
our_method,CA,0.01616449529232322,0.9853047307129664,0.012415721521029002,0.010311415961480988
our_method,FL,0.01717315166619604,0.9834826328148869,0.009799603126233375,0.009185895133671029
our_method,NY,0.040308048910198783,0.9669382510231948,0.051794149349906206,0.030464672474723047
