source,population,downstream_accuracy,logloss,downstream_accuracy_std,logloss_std
baseline_dro_lasso,Female,0.9294871794871794,0.5466199322645052,0.011750194089630427,0.1411321918604465
baseline_dro_lasso,Male,0.7890376035691524,0.6712072138888724,0.019152299810473814,0.05827510991700226
baseline_dro_xgb,Female,0.9346153846153845,0.30290616938243375,0.013867504905630677,0.011852042086341889
baseline_dro_xgb,Male,0.7934990439770555,0.6427848657564754,0.016336527237700835,0.17688187752094156
baseline_lasso,Female,0.9307692307692307,0.3055562337477373,0.01386750490563066,0.029642583458438544
baseline_lasso,Male,0.7775653282345444,0.7797631231812172,0.03025224802117483,0.07927712742118709
baseline_xgb,Female,0.9307692307692307,0.344767933895096,0.013867504905630679,0.05358435982359796
baseline_xgb,Male,0.7992351816443595,0.5477766054637625,0.011940722750283746,0.11991514766970045
our_method,Female,0.9294871794871794,0.3055428267005141,0.018176213947125385,0.02227192292707905
our_method,Male,0.7820267686424475,0.6754505955063612,0.003311760626326776,0.19332776235218893
