population,downstream_accuracy,logloss,selected_indices,source
Male,0.7954110898661568,0.7240265868178114,"[1, 39, 16, 37, 36, 41, 28, 18, 38, 2]",our_method
Female,0.9576923076923077,0.2587195744668675,"[1, 39, 16, 37, 36, 41, 28, 18, 38, 2]",our_method
Male,0.7705544933078394,0.7658721663823501,"[41, 30, 4, 3, 36, 0, 24, 16, 1, 2]",baseline_lasso
Female,0.95,0.2722189864030249,"[41, 30, 4, 3, 36, 0, 24, 16, 1, 2]",baseline_lasso
Male,0.8087954110898662,0.6129404000790059,"[8, 9, 3, 30, 24, 1, 16, 41, 36, 2]",baseline_dro_lasso
Female,0.9423076923076923,0.40542460569066185,"[8, 9, 3, 30, 24, 1, 16, 41, 36, 2]",baseline_dro_lasso
Male,0.8126195028680688,0.5247672176319964,"[31, 10, 9, 25, 24, 3, 28, 1, 2, 16]",baseline_xgb
Female,0.9461538461538461,0.40658047910986833,"[31, 10, 9, 25, 24, 3, 28, 1, 2, 16]",baseline_xgb
Male,0.8107074569789675,0.7960692434037024,"[32, 24, 3, 9, 25, 39, 28, 1, 2, 16]",baseline_dro_xgb
Female,0.9461538461538461,0.289360194029325,"[32, 24, 3, 9, 25, 39, 28, 1, 2, 16]",baseline_dro_xgb
